ID,long_term_credit_card_opening_propensity_score,creditworthiness_score,spend_potential,number_of_credit_cards,short_term_credit_card_opening_propensity_score,long_term_credit_card_cancellation_propensity_score,credit_card_utilization_score,number_of_attempts_to_open_credit_cards,history_at_credit_bureau,total_limit_across_credit_cards,contact_history_score,Balance Transfer Propensity Score,targeted_product,Customer Lifetime Value
4514,15.2,9480.5,1.1,132,12.1,1.3,7,52,23,750,0,59,C,601
4515,9.1,9636.4,1.2,99,0,0,5,16,23,1550,0,44,E,249
4516,6.1,8896.1,1.8,99,3,1.3,7,32,34,600,255,92,E,2066
4517,6.1,9623.4,1,198,6.1,2.6,5,20,33,950,180,91,E,914
4518,3,9285.7,0.2,33,3,0,8,8,21,250,0,99,C,537
4519,3,8909.1,,33,3,0,5,4,36,500,15,77,C,790
4520,6.1,9753.2,,66,6.1,0,0,0,21,1875,30,78,E,481
4521,3,10155.8,0.8,231,0,1.3,3,4,39,1000,105,47,E,2493
4522,3,9688.3,0.5,33,0,0,15,4,35,375,240,87,E,2418
4523,3,8935.1,,99,3,0,5,16,40,1200,0,61,C,643
4524,3,9831.2,2.1,99,0,0,3,4,27,650,0,85,E,804
4525,9.1,8818.2,4.6,132,3,2.6,14,28,36,850,0,68,D,4555
4526,3,9766.2,1.4,66,0,5.2,15,12,41,2225,285,23,E,3757
4527,3,9181.8,0.3,33,0,0,3,16,22,700,90,70,E,360
4528,12.1,9000,0.7,132,6.1,0,6,24,31,125,0,6,C,549
4529,3,8753.2,0.3,33,3,0,3,28,25,175,0,27,C,496
4530,3,9649.4,1,33,0,0,8,4,22,375,15,57,E,593
4531,24.2,8974,5.3,264,6.1,5.2,8,24,34,625,180,50,E,1547
4532,15.2,8207.8,0.4,198,0,1.3,14,28,36,325,0,48,C,340
4533,15.2,9545.5,9.9,264,6.1,2.6,4,12,34,1400,180,53,E,1324
4534,9.1,9727.3,,99,3,0,4,16,23,550,0,55,C,888
4535,9.1,9571.4,1.9,66,0,7.8,,24,38,750,0,90,E,3141
4536,0,8649.4,2.8,132,0,1.3,8,0,33,800,0,30,E,3971
4537,0,10129.9,8.7,66,0,7.8,23,24,39,1150,105,94,E,821
4538,6.1,8831.2,0.9,66,3,0,11,36,22,150,0,35,E,2936
4539,12.1,8857.1,3.1,99,3,3.9,6,8,32,1200,105,84,E,1883
4540,3,9246.8,0.6,66,3,0,11,8,25,600,240,14,E,1698
4541,12.1,9597.4,3.5,132,9.1,0,2,52,34,425,75,2,E,2892
4542,12.1,8909.1,5.4,198,0,1.3,7,8,40,1275,0,85,B,1518
4543,3,9376.6,0.9,66,0,0,7,4,25,450,105,96,E,454
4544,0,8792.2,0.1,33,0,0,,4,27,200,180,4,C,1667
4545,9.1,9116.9,0.8,132,3,0,6,20,25,200,0,8,E,2660
4546,6.1,9597.4,0.3,66,3,0,4,8,24,375,60,42,E,545
4547,0,9090.9,,33,0,0,15,4,41,1575,0,33,C,2639
4548,6.1,9272.7,0.4,66,3,0,5,8,22,200,0,12,E,651
4549,3,9220.8,2.8,66,3,0,11,28,34,1800,15,42,E,589
4550,15.2,8883.1,3.1,231,9.1,14.3,3,16,37,525,0,99,C,273
4551,0,9779.2,,0,,3.9,,0,35,175,0,4,E,2674
4552,3,9389.6,1,132,3,3.9,1,12,42,900,30,33,E,751
4553,12.1,8831.2,1.1,132,6.1,1.3,8,116,51,275,0,49,C,697
4554,6.1,8363.6,0,66,6.1,0,1,8,22,3200,0,6,C,1070
4555,9.1,8766.2,,99,3,0,16,16,40,800,0,99,D,3111
4556,6.1,8701.3,2.6,99,0,2.6,17,40,40,1000,0,80,B,7396
4557,9.1,9714.3,9.6,264,0,5.2,11,12,42,1550,45,57,B,9022
4558,15.2,10220.8,1.8,429,3,1.3,4,0,42,825,450,98,E,1774
4559,6.1,9142.9,0.9,66,0,0,7,12,24,200,0,57,E,1471
4560,12.1,10363.6,4.5,231,0,2.6,1,12,37,950,30,26,E,796
4561,6.1,9363.6,,66,6.1,0,3,20,22,700,0,89,C,389
4562,12.1,8363.6,2.1,99,3,2.6,11,76,37,175,0,28,C,296
4563,12.1,9792.2,5.7,165,3,0,5,24,25,3200,30,4,E,2314
4564,39.4,8350.6,5.6,429,18.2,1.3,14,152,28,1350,15,7,C,844
4565,42.4,9532.5,6.5,594,12.1,5.2,5,80,35,800,0,85,E,443
4566,3,10636.4,17.1,66,0,1.3,6,16,40,6500,180,25,A,5385
4567,9.1,8857.1,5.1,99,3,1.3,14,36,32,1750,270,54,B,3716
4568,6.1,8727.3,0.7,66,3,0,11,24,23,475,30,12,C,433
4569,6.1,10532.5,7.5,66,0,7.8,0,8,41,7000,60,72,A,6082
4570,3,9039,0,33,3,0,7,4,23,250,0,83,C,635
4571,15.2,10337.7,4.9,231,3,3.9,6,32,35,2200,150,68,E,1469
4572,0,10168.8,6,66,0,5.2,2,12,31,2875,30,14,A,4981
4573,9.1,9337.7,0.4,99,6.1,0,1,60,22,600,15,88,C,567
4574,6.1,9415.6,1.3,66,0,2.6,13,8,44,825,255,49,E,1580
4575,12.1,9896.1,5,165,9.1,0,2,8,27,1750,150,76,E,711
4576,3,8961,,33,0,0,9,20,23,850,0,60,E,964
4577,12.1,9610.4,1.2,132,3,1.3,4,16,30,725,75,80,E,977
4578,9.1,9441.6,9,198,0,7.8,12,52,42,1550,45,43,E,1046
4579,9.1,8480.5,0.5,99,6.1,0,2,16,24,250,0,10,C,480
4580,3,9610.4,5.2,264,0,10.4,8,4,39,750,135,68,E,1471
4581,6.1,9441.6,0.6,99,3,0,4,32,28,325,30,3,E,1277
4582,21.2,9896.1,2,330,0,0,8,28,33,1400,0,24,E,2475
4583,3,9376.6,7,99,0,1.3,4,4,32,3400,390,46,A,3986
4584,9.1,9051.9,0.2,99,6.1,2.6,6,16,33,675,0,97,E,852
4585,18.2,9402.6,,198,0,2.6,8,20,33,1200,0,32,E,1212
4586,6.1,9090.9,0.1,66,6.1,0,4,36,22,400,60,97,C,302
4587,6.1,9948.1,1.1,66,3,3.9,3,4,39,1200,30,12,E,1556
4588,12.1,9285.7,0.5,132,12.1,0,3,20,22,500,0,99,E,617
4589,9.1,9103.9,0.9,66,3,2.6,11,32,25,125,0,63,C,335
4590,12.1,9506.5,2.4,198,0,2.6,1,0,36,875,570,18,E,5156
4591,15.2,9467.5,9.2,165,6.1,0,7,24,37,2250,300,91,E,2872
4592,9.1,9142.9,5.7,165,3,2.6,11,12,57,850,225,18,A,4607
4593,27.3,9233.8,,264,9.1,5.2,2,28,31,900,0,41,E,912
4594,15.2,9805.2,1.9,132,3,1.3,3,16,25,2775,345,78,E,2021
4595,6.1,8857.1,0.8,99,3,0,13,4,25,600,90,37,E,1050
4596,15.2,9571.4,7.8,396,0,5.2,4,16,42,3625,195,61,E,1339
4597,12.1,9181.8,1.6,132,0,1.3,10,4,59,550,270,11,E,1954
4598,12.1,8311.7,3.6,99,0,2.6,10,4,26,675,15,29,C,1195
4599,3,9532.5,0.1,33,3,0,2,20,22,125,15,79,C,420
4600,0,9402.6,,33,0,0,17,36,27,200,0,17,C,697
4601,6.1,9272.7,0.7,33,3,6.5,13,8,52,1325,90,69,E,2806
4602,3,9220.8,0,33,3,0,11,0,22,625,0,97,E,1137
4603,6.1,8974,1.1,66,0,0,15,4,23,625,30,10,D,1467
4604,6.1,9480.5,1.1,198,0,1.3,7,8,39,1075,105,55,E,2049
4605,12.1,9337.7,1.3,132,0,0,7,16,25,725,420,69,E,3529
4606,12.1,9181.8,,198,0,1.3,11,0,37,1800,0,99,E,1310
4607,12.1,10051.9,8.3,495,3,6.5,5,4,50,2325,120,31,E,2769
4608,21.2,9623.4,0.4,198,15.2,1.3,1,16,22,175,15,64,E,400
4609,9.1,9753.2,1.2,66,3,0,11,8,58,1325,210,46,E,1530
4610,6.1,9350.6,1.6,66,0,2.6,14,0,36,1425,90,92,E,2450
4611,24.2,9350.6,3,330,9.1,1.3,8,24,28,1425,0,27,E,676
4612,9.1,9298.7,2.9,99,9.1,0,10,8,43,950,105,54,E,1839
4613,3,9039,0,33,3,1.3,10,4,26,775,45,10,E,778
4614,12.1,9844.2,0.3,165,12.1,0,1,32,35,450,30,98,E,2838
4615,9.1,9064.9,1.4,99,3,0,9,60,26,325,120,65,C,1237
4616,9.1,10259.7,1.9,264,0,3.9,,4,52,1275,90,9,E,2585
4617,6.1,8948.1,7.4,462,6.1,0,10,40,31,725,30,97,C,370
4618,33.3,9207.8,2.8,297,9.1,2.6,7,56,33,1075,240,72,E,1138
4619,3,9142.9,0.4,0,,6.5,,4,44,,210,3,C,2197
4620,45.5,9233.8,10.2,528,6.1,6.5,4,28,33,2100,90,100,B,3227
4621,6.1,9116.9,1.4,66,3,0,7,36,25,950,240,98,E,1750
4622,12.1,9220.8,1.7,66,3,3.9,14,20,26,575,90,66,E,560
4623,3,8493.5,,66,3,0,1,32,29,1075,0,59,C,438
4624,0,9467.5,3.4,33,0,0,14,0,42,4375,15,39,E,1045
4625,9.1,9402.6,3.2,198,0,1.3,1,4,33,575,210,17,E,1667
4626,15.2,9987,,165,3,0,2,16,23,325,30,39,E,787
4627,3,9415.6,0.1,33,0,0,11,4,23,125,30,3,E,1149
4628,3,9064.9,,33,3,0,6,36,22,100,0,62,C,372
4629,6.1,9610.4,4.3,66,0,0,2,4,25,3800,30,60,E,491
4630,9.1,9727.3,1.7,99,3,0,5,24,36,900,60,5,E,3423
4631,21.2,9285.7,1.2,264,6.1,0,6,8,38,625,345,45,E,2266
4632,15.2,8805.2,6,198,15.2,6.5,7,44,35,675,30,39,C,294
4633,3,8714.3,1.8,66,3,0,14,12,27,825,555,91,D,3462
4634,15.2,9181.8,1.7,198,3,1.3,7,4,34,850,900,15,E,3000
4635,,,5.2,,,,,,,,75,86,E,459
4636,12.1,10324.7,12,198,3,11.7,2,12,50,1450,0,8,E,309
4637,6.1,10181.8,0.8,66,0,0,6,12,26,550,120,34,E,1637
4638,3,9064.9,0,33,3,0,6,16,22,75,30,55,C,310
4639,18.2,9039,2.6,198,18.2,1.3,8,40,41,800,15,60,C,886
4640,15.2,8688.3,1.2,165,15.2,3.9,4,152,31,375,0,58,C,469
4641,3,9870.1,1.2,99,0,0,7,0,26,875,0,30,E,1083
4642,18.2,9610.4,2.4,264,0,0,7,16,27,575,405,65,E,2118
4643,18.2,9090.9,8.4,264,9.1,5.2,9,28,40,1200,330,73,E,1324
4644,3,9298.7,0.6,66,0,0,7,28,28,400,30,80,E,2144
4645,9.1,9155.8,,99,0,0,8,28,25,175,0,63,E,2017
4646,0,8909.1,42,66,0,0,10,4,50,3300,495,50,C,5582
4647,6.1,8311.7,0.1,33,3,0,4,4,25,75,0,92,C,298
4648,9.1,9272.7,15,231,0,1.3,2,36,27,2300,195,44,B,4098
4649,15.2,9467.5,17.3,231,0,5.2,11,24,38,2025,0,14,B,5412
4650,6.1,9142.9,1.2,132,3,5.2,11,4,35,1275,315,59,D,2856
4651,12.1,9220.8,0.3,132,12.1,0,3,12,32,475,30,31,E,702
4652,18.2,8792.2,2.3,165,3,1.3,8,48,23,450,45,7,C,475
4653,3,8740.3,5,33,0,2.6,11,28,27,1675,375,32,D,3356
4654,3,9311.7,0,33,3,0,3,24,23,75,0,50,C,437
4655,18.2,9610.4,1.3,264,6.1,10.4,5,48,39,1200,120,94,B,2089
4656,15.2,9155.8,3.5,165,9.1,3.9,7,40,42,1325,0,80,C,997
4657,9.1,8961,2.2,99,9.1,0,6,20,26,1475,105,79,B,3192
4658,9.1,9571.4,1.7,165,0,1.3,8,8,29,725,360,97,E,4010
4659,3,9090.9,0.6,33,0,0,10,32,24,525,30,92,E,1629
4660,18.2,10051.9,8,297,9.1,10.4,2,12,35,1775,0,76,A,3206
4661,9.1,9714.3,3.4,264,3,1.3,9,4,44,1250,0,68,E,1683
4662,6.1,9051.9,18.8,99,0,19.5,10,8,40,2650,150,38,E,2223
4663,3,8675.3,1.9,33,0,0,16,8,31,350,345,47,E,2838
4664,6.1,8675.3,,198,0,3.9,16,4,38,800,0,80,C,1211
4665,15.2,9571.4,0.6,165,12.1,0,2,24,22,450,0,86,C,319
4666,3,9350.6,1.3,33,3,0,5,0,22,625,0,76,E,528
4667,12.1,10013,0.5,132,0,2.6,8,12,38,1525,240,47,E,1602
4668,,9779.2,0,,,,,4,26,,0,7,E,436
4669,6.1,10233.8,21.7,132,0,2.6,4,0,52,3075,90,63,D,-115
4670,15.2,9000,0.9,165,0,0,5,4,28,400,195,64,E,3303
4671,6.1,8883.1,7.4,66,0,0,10,0,39,3375,120,86,E,2601
4672,3,9077.9,2.2,66,0,0,6,52,35,775,405,24,E,4400
4673,9.1,9571.4,1.5,99,0,0,6,8,24,1075,600,96,E,2238
4674,6.1,8662.3,2.7,99,0,1.3,7,4,30,875,315,59,B,2687
4675,3,9688.3,,66,0,0,12,16,35,700,0,18,E,1144
4676,21.2,8545.5,2.1,231,6.1,0,7,32,24,250,0,40,C,403
4677,0,10896.1,4.1,132,0,5.2,1,4,50,1125,60,52,D,1344
4678,18.2,8792.2,3.6,198,6.1,0,10,28,26,800,195,67,E,2771
4679,3,9129.9,0,33,3,0,7,12,22,250,60,83,D,2117
4680,6.1,9662.3,1.1,66,3,1.3,14,12,49,1100,165,55,E,2750
4681,18.2,8870.1,1.5,165,3,1.3,12,4,24,750,105,20,E,2149
4682,6.1,9428.6,0.8,66,3,0,3,24,23,350,0,12,E,959
4683,6.1,9116.9,0.5,66,6.1,0,9,28,22,1000,0,13,C,297
4684,15.2,9961,5,132,0,1.3,1,20,24,575,390,1,E,922
4685,3,8246.8,0.3,0,,5.2,10,8,46,325,30,37,C,371
4686,6.1,9623.4,1.6,198,0,10.4,5,28,40,675,510,56,E,7080
4687,6.1,9026,0.2,66,3,0,5,20,25,425,75,61,E,1571
4688,9.1,8389.6,1.1,99,3,0,11,48,31,100,0,16,D,1280
4689,3,10077.9,0.2,66,3,1.3,5,4,33,1025,30,68,C,288
4690,6.1,8870.1,0.8,66,6.1,0,9,16,24,300,30,60,B,2289
4691,6.1,9675.3,,66,6.1,0,6,0,25,250,0,88,C,535
4692,6.1,9688.3,11.5,99,0,5.2,10,16,40,2650,300,40,E,2541
4693,15.2,8532.5,,231,15.2,0,11,32,41,150,0,39,C,492
4694,9.1,9584.4,,66,0,1.3,7,24,23,300,0,4,E,885
4695,6.1,9636.4,0.4,66,0,0,4,8,23,400,45,78,E,387
4696,0,8974,5.1,99,0,1.3,1,4,57,3200,75,57,C,964
4697,9.1,9480.5,14.2,264,3,0,8,8,42,1400,285,9,E,1959
4698,12.1,9662.3,2.7,132,6.1,0,2,8,27,1450,135,98,E,754
4699,0,9155.8,13,99,0,5.2,5,16,46,3175,780,87,D,2950
4700,3,9636.4,0.4,33,3,0,8,0,21,75,30,68,E,640
4701,3,9909.1,1,33,0,1.3,8,16,27,925,30,52,E,2077
4702,0,9545.5,3.7,231,0,1.3,1,0,40,1175,210,31,E,4040
4703,0,8506.5,,33,0,0,1,8,50,4225,0,62,C,943
4704,6.1,9142.9,4.2,66,3,0,8,4,24,2200,135,67,E,1935
4705,9.1,9077.9,0.1,99,3,1.3,4,20,31,450,345,14,E,965
4706,3,9155.8,2.2,33,0,0,14,0,22,500,90,85,E,3358
4707,3,9896.1,0.2,66,0,0,1,8,32,1725,0,66,E,819
4708,3,9571.4,0.7,132,3,0,7,8,26,800,30,65,E,2811
4709,3,8298.7,0,33,3,1.3,16,4,39,625,15,69,C,998
4710,3,8454.5,6.1,99,0,6.5,9,16,47,625,345,11,B,9074
4711,12.1,9519.5,,198,6.1,0,9,72,27,325,0,67,E,732
4712,3,9727.3,,33,3,2.6,,8,35,50,0,38,E,1477
4713,0,8922.1,5.3,330,0,20.8,10,12,46,1425,0,56,E,1505
4714,3,9220.8,0.9,33,0,0,6,4,24,875,540,78,D,2300
4715,,9545.5,0,,,,,4,22,200,0,8,E,434
4716,15.2,8571.4,,165,9.1,0,7,56,24,350,0,33,C,417
4717,6.1,8506.5,0.4,66,0,2.6,17,16,38,200,0,47,D,107
4718,12.1,8727.3,0.7,66,6.1,2.6,11,20,54,125,420,84,E,4881
4719,18.2,10181.8,5.7,132,3,10.4,1,16,33,2850,15,37,E,248
4720,12.1,9220.8,0.4,165,3,0,7,28,31,500,75,56,D,2087
4721,15.2,8974,2.1,132,0,0,11,52,25,1500,60,15,E,1585
4722,21.2,8545.5,3.3,231,3,9.1,14,36,45,700,90,64,D,1932
4723,12.1,9389.6,2.1,132,3,0,5,20,25,350,165,8,E,2503
4724,18.2,9220.8,2.1,330,9.1,9.1,13,40,47,900,45,83,B,3841
4725,36.4,9948.1,24.6,594,3,7.8,5,36,39,1675,105,72,A,9660
4726,15.2,9051.9,0.9,165,12.1,0,4,24,22,675,45,84,E,496
4727,9.1,9142.9,1.2,165,3,0,8,32,51,625,120,77,E,2927
4728,6.1,10974,9.6,132,0,5.2,0,36,45,6000,30,22,A,5134
4729,6.1,9558.4,0.5,99,3,3.9,2,4,52,875,135,52,E,3109
4730,12.1,9662.3,,132,6.1,5.2,10,40,47,875,0,80,E,1379
4731,6.1,9168.8,0.7,99,0,0,16,8,33,650,225,99,E,2206
4732,15.2,9571.4,3.5,165,3,6.5,7,12,28,825,480,75,E,2207
4733,3,8753.2,0.9,33,0,0,6,72,23,250,240,71,C,1346
4734,6.1,9013,0.7,165,0,2.6,10,8,43,400,0,49,C,613
4735,27.3,9675.3,6.1,363,0,9.1,3,44,39,1950,195,69,E,673
4736,6.1,8883.1,2.3,33,0,1.3,11,24,32,500,30,46,E,2062
4737,18.2,9311.7,3.8,231,12.1,1.3,4,48,34,850,30,78,E,799
4738,6.1,9727.3,1.3,198,0,10.4,4,4,38,900,30,88,E,2141
4739,12.1,9051.9,1.9,264,0,0,15,8,28,375,0,11,E,1294
4740,6.1,9311.7,0.4,66,3,0,11,8,25,550,60,85,E,2620
4741,6.1,9870.1,1.6,132,0,3.9,5,40,32,2725,120,48,E,1740
4742,12.1,9909.1,2.2,132,6.1,1.3,5,12,28,1000,0,81,E,492
4743,18.2,8844.2,3,198,9.1,0,3,24,25,925,165,60,E,576
4744,12.1,9259.7,0.8,99,9.1,2.6,7,28,38,975,75,76,E,1162
4745,6.1,9233.8,,99,0,1.3,4,4,28,1350,0,88,E,2087
4746,3,9883.1,0,33,0,0,,0,23,1750,45,100,B,1638
4747,6.1,9857.1,,99,0,0,5,4,31,1275,0,20,E,2698
4748,9.1,8610.4,,132,6.1,1.3,13,16,44,400,0,79,C,637
4749,6.1,8987,1.2,66,3,0,13,28,31,725,30,56,E,994
4750,6.1,9142.9,1.7,33,0,5.2,6,12,33,950,135,52,E,2917
4751,3,10649.4,12.5,132,0,11.7,6,0,50,2975,120,20,A,5210
4752,3,9129.9,0.8,99,0,0,3,36,31,2000,0,93,E,1199
4753,9.1,9792.2,0.1,165,9.1,1.3,7,8,33,1025,60,14,E,1530
4754,3,9649.4,0,33,0,0,,0,23,575,30,7,E,888
4755,0,8376.6,0,0,,2.6,,8,44,,270,68,C,1924
4756,15.2,8818.2,0.3,165,12.1,1.3,5,40,42,200,75,33,B,2089
4757,9.1,9013,1,99,0,0,17,0,32,650,150,20,E,2152
4758,15.2,9013,4.8,198,3,1.3,9,12,26,1275,30,64,E,719
4759,12.1,9103.9,0.9,132,3,0,8,24,23,475,0,37,E,2258
4760,3,8428.6,0.7,33,3,0,4,32,28,200,0,41,C,305
4761,21.2,8623.4,0.6,198,9.1,2.6,21,64,39,150,0,11,C,301
4762,9.1,9116.9,8.6,99,0,1.3,9,8,26,2250,180,29,E,4515
4763,15.2,8584.4,1.3,99,3,2.6,2,140,27,1100,60,27,B,3877
4764,0,9649.4,0.6,33,0,0,0,0,27,7375,30,40,E,1042
4765,21.2,9402.6,3.4,363,6.1,3.9,4,44,32,800,0,59,E,2428
4766,3,8974,0.9,66,0,0,8,32,27,175,0,69,C,623
4767,6.1,9090.9,7.1,66,0,5.2,3,24,33,1675,45,20,A,6514
4768,3,9298.7,0.5,33,0,0,8,16,22,125,135,2,E,1602
4769,12.1,9116.9,,132,9.1,0,5,32,22,350,0,100,E,873
4770,3,10103.9,11.8,66,0,0,7,44,28,1875,0,98,A,10116
4771,6.1,10688.3,1.2,165,6.1,6.5,4,24,55,1875,105,96,A,4130
4772,3,10077.9,14.1,33,0,0,1,4,23,3375,390,18,B,5315
4773,12.1,8883.1,0.9,99,3,2.6,14,48,28,275,0,63,B,1126
4774,9.1,9519.5,0.7,264,3,1.3,4,36,41,725,240,23,E,1716
4775,0,9532.5,,33,0,0,5,16,30,950,30,79,E,1464
4776,,10000,8.7,,,,,12,22,,105,4,E,1238
4777,6.1,9766.2,1.4,99,3,0,4,8,26,1800,150,73,E,856
4778,6.1,9324.7,0.1,66,3,0,,24,22,550,0,45,E,1375
4779,9.1,9350.6,6.3,66,0,1.3,8,4,24,2200,0,91,E,994
4780,3,9649.4,0.9,33,0,0,1,0,23,2500,0,70,E,938
4781,3,9506.5,4.2,132,0,0,3,0,33,2850,150,47,A,5807
4782,15.2,9298.7,0.1,165,12.1,0,4,68,22,275,30,92,C,261
4783,15.2,8584.4,,99,9.1,1.3,1,96,25,575,0,68,C,365
4784,21.2,8545.5,,297,12.1,1.3,13,24,41,450,0,27,C,358
4785,9.1,10155.8,9.8,99,0,3.9,6,8,50,2700,480,20,E,3681
4786,9.1,8870.1,0.2,99,9.1,0,3,28,27,250,0,42,C,413
4787,9.1,9896.1,3.8,165,3,2.6,2,8,30,2525,0,68,E,869
4788,9.1,9350.6,8.9,132,3,1.3,7,8,31,2950,255,32,B,5555
4789,6.1,9103.9,0.1,66,6.1,0,3,16,22,200,0,58,C,419
4790,3,9298.7,1,33,0,0,7,16,22,575,15,43,E,521
4791,3,8766.2,0.3,33,3,0,5,4,56,325,60,28,D,1799
4792,12.1,9545.5,2.9,132,3,0,0,20,30,600,240,92,E,3196
4793,9.1,8532.5,1.1,99,0,0,10,8,36,725,0,65,C,492
4794,3,9246.8,11.5,33,0,0,8,8,22,6250,180,97,A,5417
4795,18.2,9805.2,13,396,6.1,6.5,2,8,41,2975,30,33,A,3613
4796,9.1,9311.7,1.5,99,9.1,0,4,88,24,625,0,58,E,2589
4797,15.2,9155.8,10,198,9.1,2.6,1,20,41,1975,15,78,A,4816
4798,3,9636.4,0,33,3,0,,16,33,125,0,22,E,397
4799,18.2,9142.9,2,198,3,3.9,7,124,35,550,135,92,E,379
4800,9.1,10428.6,6.9,198,3,2.6,1,20,34,2700,285,72,A,3975
4801,3,8259.7,,99,0,0,8,20,27,1325,0,43,C,586
4802,6.1,8636.4,17.3,231,0,1.3,13,32,33,925,465,45,B,6154
4803,9.1,9324.7,,99,6.1,0,2,12,23,1350,0,65,E,239
4804,6.1,10259.7,7,132,6.1,9.1,1,4,45,3275,15,39,E,978
4805,6.1,9000,0.2,66,3,0,2,44,22,100,0,87,E,388
4806,3,9116.9,0.3,33,0,0,17,0,24,75,135,23,D,1812
4807,3,8987,6.5,33,3,0,9,32,22,1400,0,8,C,965
4808,3,9363.6,1,33,0,0,17,12,32,750,285,77,E,963
4809,3,9064.9,3.5,330,0,2.6,3,40,38,375,150,13,B,6371
4810,0,8337.7,0.7,33,0,3.9,2,28,45,350,30,97,C,326
4811,15.2,8285.7,1.7,132,0,1.3,5,48,24,250,0,26,C,875
4812,15.2,9584.4,4.3,264,6.1,7.8,5,12,40,1125,405,33,E,1940
4813,6.1,9311.7,3.2,99,3,0,8,8,27,1500,405,5,B,4521
4814,6.1,9519.5,2.9,66,3,0,3,16,23,325,195,58,B,3329
4815,6.1,9454.5,8.3,132,3,1.3,14,8,54,3075,420,79,D,2725
4816,24.2,9376.6,2.7,231,0,9.1,1,0,56,1175,30,77,E,543
4817,3,9584.4,8.2,264,0,2.6,15,20,49,1825,105,27,B,10104
4818,0,9039,0.2,66,0,0,16,8,42,625,90,8,D,2598
4819,9.1,9194.8,0.3,231,3,1.3,7,28,44,1750,105,45,C,1451
4820,15.2,9987,0.5,132,0,1.3,6,8,52,925,150,43,E,858
4821,21.2,9116.9,0.8,231,18.2,0,8,120,22,675,15,99,C,528
4822,3,9181.8,0.5,33,3,0,4,12,22,250,0,59,C,357
4823,6.1,8662.3,,66,3,2.6,14,24,43,350,0,91,B,3300
4824,18.2,9376.6,2.6,231,9.1,0,8,16,46,450,15,41,C,1097
4825,6.1,9337.7,0.3,66,3,0,2,20,22,175,30,21,C,352
4826,6.1,9207.8,0.2,66,6.1,0,11,12,22,100,0,29,E,1360
4827,6.1,8389.6,0.1,165,6.1,2.6,10,24,37,525,150,80,C,1012
4828,15.2,9194.8,,297,6.1,0,4,36,32,1150,0,13,E,1948
4829,15.2,8818.2,0,132,9.1,0,4,40,29,650,0,30,C,676
4830,6.1,9636.4,1.5,66,3,9.1,12,4,47,950,15,37,E,1829
4831,18.2,9026,1,198,12.1,0,9,52,24,225,0,73,C,48
4832,21.2,9831.2,1.8,264,3,0,3,96,34,575,90,4,E,2092
4833,3,11039,24.4,363,0,15.6,1,8,67,3325,195,37,D,-274
4834,6.1,8311.7,2.2,132,0,2.6,7,28,55,775,0,27,C,776
4835,12.1,9285.7,0.4,132,6.1,0,5,44,23,550,45,66,E,1502
4836,12.1,9389.6,1.7,132,6.1,0,3,28,26,550,0,47,E,539
4837,3,8207.8,1.9,99,0,2.6,13,0,34,350,45,19,C,911
4838,9.1,8805.2,0.9,99,6.1,0,7,36,22,1050,30,94,E,2133
4839,21.2,9558.4,2.3,132,9.1,3.9,4,16,24,300,90,86,E,542
4840,21.2,9246.8,6,264,6.1,1.3,8,116,36,1600,135,87,B,6113
4841,12.1,8350.6,0.5,132,6.1,0,3,40,28,250,15,63,C,683
4842,9.1,9636.4,1.4,99,3,2.6,4,16,39,850,270,90,E,1132
4843,0,10441.6,4.3,132,0,3.9,1,16,61,3650,615,71,D,6273
4844,9.1,9662.3,,198,3,0,3,0,32,1275,0,26,E,645
4845,18.2,9168.8,1.2,198,3,0,6,24,46,500,30,38,E,2250
4846,21.2,9233.8,3.7,231,3,0,9,24,37,500,165,60,E,1675
4847,3,9493.5,0.2,33,3,0,,8,22,75,0,58,E,310
4848,0,9558.4,2.4,33,0,1.3,2,8,27,2000,30,72,E,697
4849,3,9129.9,0.4,33,0,0,10,28,26,650,255,84,B,6175
4850,9.1,9584.4,9.2,198,3,2.6,6,16,39,4675,60,37,B,5372
4851,9.1,9298.7,2.7,297,0,2.6,7,16,40,675,150,75,E,2034
4852,3,9064.9,0.9,33,3,0,12,24,22,750,30,48,C,810
4853,9.1,9194.8,1.9,99,3,0,5,28,22,725,165,81,E,1178
4854,9.1,9441.6,0.7,66,6.1,1.3,3,36,22,575,150,41,E,744
4855,3,10675.3,7.5,132,0,3.9,1,16,37,5200,90,34,A,4922
4856,12.1,8558.4,1.7,132,3,1.3,9,20,44,975,45,34,C,1033
4857,6.1,8961,5.3,99,3,3.9,11,32,56,1525,210,38,B,3896
4858,12.1,10350.6,10.9,297,6.1,2.6,2,12,36,2650,300,15,A,3760
4859,0,9077.9,0,33,0,0,2,4,29,9800,150,42,E,882
4860,12.1,8740.3,1.5,132,6.1,1.3,9,28,41,275,120,13,C,884
4861,27.3,9896.1,3.5,363,0,2.6,7,16,31,1150,180,77,E,804
4862,6.1,8454.5,,66,0,0,4,16,31,425,0,60,C,889
4863,21.2,8831.2,2.8,297,6.1,1.3,3,28,34,250,0,93,C,543
4864,3,9467.5,,66,0,1.3,18,16,34,2450,0,19,E,1141
4865,3,8571.4,0.8,33,0,0,4,24,32,875,0,92,B,3581
4866,0,9779.2,0,0,,2.6,,4,44,,15,11,E,3514
4867,12.1,8896.1,5.2,165,0,0,5,92,28,700,105,76,B,2511
